ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"PED","Pedevco Corp. Common Stock","0001141197","1311","Diversified Utility","2024","FY","14.69%","0.14689512799339388","17789000","121100000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","585"
"PEG","Public Service Enterprise Group Incorporated Common Stock","0000788784","4931","Electric & Other Services Combined","2024","FY","13.56%","0.13561916424307363","1772000000","13066000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","763"
"PLPC","Preformed Line Products Company Common Stock","0000080035","1623","Utility (Keyword Match)","2024","FY","8.78%","0.08783490996057446","37094000","422315000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","519"
"PNRG","PrimeEnergy Resources Corporation Common Stock","0000056868","1311","Diversified Utility","2022","FY","34.67%","0.34672575577294396","48664000","140353000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","408"
"PNW","Pinnacle West Capital Corporation Common Stock","0000764622","4911","Electric Services","2010","FY","9.50%","0.09503717698700115","350053000","3683327000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","519"
"POR","Portland General Electric Co Common Stock","0000784977","4911","Electric Services","2016","FY","10.61%","0.10610225398570643","193000000","1819000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","946"
"PPL","PPL Corporation Common Stock","0000922224","4911","Electric Services","2021","FY","6.38%","0.06381602587136184","888000000","13915000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","481"
"PR","Permian Resources Corporation Class A Common Stock","0001658566","1311","Diversified Utility","2024","FY","10.78%","0.10775269277502898","984701000","9138528000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1224"
"PRIM","Primoris Services Corporation Common Stock","0001361538","1623","Utility (Keyword Match)","2024","FY","12.83%","0.12833186594425247","180888000","1409533000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","935"
"PROP","Prairie Operating Co. Common Stock","0001162896","1311","Diversified Utility","2024","FY","-77.53%","-0.7753183747725895","-40912000","52768000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","795"
"REI","Ring Energy Inc. Common Stock","0001384195","1311","Diversified Utility","2024","FY","7.86%","0.07857811820367806","67470314","858639982","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1101"
"REPX","Riley Exploration Permian Inc. Common Stock","0001001614","1311","Diversified Utility","2024","FY","17.41%","0.17409790155009155","88897000","510615000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","555"
"RGCO","RGC Resources Inc. Common Stock","0001069533","4923","Natural Gas Transmission & Distribution","2025","FY","4.72%","0.04715137484030779","5269689","111761089","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","797"
"RKDA","Arcadia Biosciences Inc. Common Stock","0001469443","1311","Diversified Utility","2024","FY","-113.10%","-1.1309657721356259","-7038000","6223000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","376"
"RRC","Range Resources Corporation Common Stock","0000315852","1311","Diversified Utility","2024","FY","6.77%","0.06765638967276041","266340000","3936657000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","535"
"SD","SandRidge Energy Inc. Common Stock","0001349436","1311","Diversified Utility","2024","FY","13.68%","0.1367682088719326","62986000","460531000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","441"
"SKK","SKK Holdings Limited Ordinary Shares","0001991261","1623","Utility (Keyword Match)","2024","FY","6.05%","0.06045751633986928","444000","7344000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","272"
"SLNG","Stabilis Solutions Inc. Common Stock","0001043186","4924","Natural Gas Distribution","2024","FY","6.86%","0.06863359598853869","4599000","67008000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","738"
"SM","SM Energy Company Common Stock","0000893538","1311","Diversified Utility","2024","FY","18.18%","0.18179048379647494","770293000","4237257000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","805"
"SMC","Summit Midstream Corporation Common Stock","0002024218","4922","Natural Gas Transmission","2024","FY","-26.11%","-0.26113956630297225","-122159000","467792000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","492"
"SO","Southern Company (The) Common Stock","0000092122","4911","Electric Services","2019","FY","2.82%","0.02824620573355818","938000000","33208000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","693"
